City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
201,srednekolymsk,88,RU,1525323183,91,67.46,153.71,38.1,5.99
202,zhireken,80,RU,1525323183,40,52.82,117.29,61.32,8.34
203,newcastle,36,ZA,1525323149,58,-27.76,29.92,54.66,5.88
204,necochea,92,AR,1525323184,99,-38.55,-58.74,58.98,5.55
205,rosita,12,NI,1525323184,89,13.92,-84.4,72.66,2.98
206,mishkino,32,RU,1525323184,94,56.22,46.62,62.04,12.93
207,namibe,0,AO,1525322868,96,-15.19,12.15,78.51,6.73
208,igunga,0,TZ,1525323185,67,-4.28,33.88,72.12,6.29
209,belomorsk,36,RU,1525323185,86,64.52,34.76,36.3,9.24
210,trebinje,80,HR,1525323186,80,42.71,18.35,61.86,4.5
211,muros,24,ES,1525322814,100,42.77,-9.06,50.43,11.88
212,villa alemana,68,CL,1525323186,95,-33.04,-71.37,47.46,3.09
213,kavieng,64,PG,1525322780,100,-2.57,150.8,84.27,4.99
214,grand gaube,56,MU,1525322815,100,-20.01,57.66,78.06,19.15
215,columbus,0,US,1525323187,54,32.46,-84.99,61.95,3.38
216,novosergiyevka,0,RU,1525323187,38,52.08,53.65,73.83,12.66
217,kutum,0,SD,1525323188,21,14.2,24.66,79.95,7.07
218,guantanamo,12,BO,1525323188,84,-16.14,-62.05,71.67,2.98
219,hilo,100,US,1525322756,100,19.71,-155.08,75.99,11.14
220,kahului,100,US,1525322739,100,20.89,-156.47,72.93,6.73
221,navirai,0,BR,1525323189,73,-23.07,-54.19,65.28,3.76
222,san patricio,0,PY,1525322756,63,-26.98,-56.83,72.21,4.32
223,kondinskoye,24,RU,1525323189,59,59.65,67.41,41.7,2.86
224,aquiraz,56,BR,1525323190,99,-3.9,-38.39,73.65,2.86
225,kununurra,12,AU,1525322854,29,-15.77,128.74,95.34,6.33
226,kwinana,0,AU,1525323190,85,-32.25,115.77,66.27,9.75
227,melekhovo,0,RU,1525323191,71,54.43,41.37,71.31,5.73
228,constitucion,0,MX,1525322828,46,23.99,-104.67,61.05,8.23
229,rurrenabaque,88,BO,1525323191,93,-14.44,-67.53,71.31,1.7
230,lagoa,0,PT,1525322807,86,37.14,-8.45,45.03,5.1
231,kruisfontein,76,ZA,1525322855,91,-34.0,24.73,66.18,14.16
232,yavatmal,0,IN,1525323192,20,20.39,78.13,103.71,6.06
233,noboribetsu,100,JP,1525323192,88,42.42,141.1,47.37,4.72
234,mitsamiouli,48,KM,1525323193,94,-11.38,43.28,82.02,8.79
235,oussouye,0,SN,1525323193,93,12.49,-16.54,72.57,9.35
236,conceicao do araguaia,76,BR,1525323193,90,-8.26,-49.26,76.17,3.87
237,talavera de la reina,0,ES,1525322952,87,39.96,-4.83,38.55,2.48
238,kushiro,92,JP,1525323194,98,43.11,144.15,45.57,13.44
